,name,latitude,longitude,rating,number of reviews,affluence
121,Boomers Cafe,23.7937058,90.4044627,4.1,1721.0,$$
122,Hotel De Crystal Crown,23.7815354,90.4140889,3.9,395.0,
123,Purnima Restaurant,23.7808142,90.4168854,3.7,1171.0,$$
124,Tasty Tibet - CSD,23.8024493,90.39592189999999,4.3,77.0,$$
125,Bluemoon Recreation Club,23.790506,90.40775780000001,4.2,1456.0,$$
126,Street 11,23.7901611,90.4081571,3.8,665.0,$$
127,Pan Tao Thai Cuisine,23.7920687,90.4080063,4.0,642.0,
128,BG Sauslys Private Limited,23.7907174,90.4043913,3.7,72.0,
129,Pappa Roti,23.7937192,90.4051829,4.3,36.0,
130,California Fried Chicken & Pastry Shop,23.7985447,90.4122565,4.0,457.0,$$
131,Taj Mahal Tandoori & Kabab,23.793446,90.4066443,4.0,276.0,
132,Salimar Garden Restora,23.7927728,90.4056059,3.9,620.0,$$
133,"Argeela, Dhaka.",23.79105569999999,90.4060774,3.8,230.0,
134,BG Sauslys Private Limited,23.7922167,90.41517089999999,4.3,170.0,
135,Cafe Number One,23.7934062,90.40669210000001,3.5,8.0,
136,Maple Leaf Restaurant,23.7934126,90.4074624,4.0,72.0,
137,Bukhara Restaurant,23.7935901,90.4056861,4.2,712.0,
138,Takeout Banani,23.7931073,90.40574869999999,4.4,5433.0,$$
139,Barcode Cafe,23.7945957,90.4059036,4.3,3786.0,$$
140,Le Halwa,23.7926595,90.4075297,2.0,1.0,
141,Taste of Lanka,23.79283419999999,90.4083479,4.2,249.0,$$$
142,The Pit Grill,23.7931676,90.40873719999999,4.2,955.0,$$$
143,Nordic Hotels Ltd.,23.7931225,90.4042656,4.0,585.0,
144,Rice & Noodle,23.7918043,90.4081581,3.9,308.0,$$
145,Sandwiched,23.7913895,90.4077447,4.7,3.0,
146,Tree House,23.7913392,90.4077514,4.2,2282.0,$$
147,Northern Cafe,23.79345079999999,90.4037176,4.0,330.0,
148,Lunch box Dhaka,23.7935079,90.4036081,3.5,17.0,
149,Time Out,23.79228310000001,90.4092599,4.2,1970.0,$$
150,Ice Age,23.7906551,90.4069347,3.9,101.0,$$
151,Tingama,23.79086839999999,90.40483510000001,4.1,61.0,
152,Tarka,23.7903658,90.4066313,4.0,1785.0,$$
153,Guitar Strings,23.790465,90.4078145,4.1,352.0,$$
154,Sajna Restaurant,23.7902795,90.4069719,4.1,1825.0,$$
